BPA Balancing Authority Load & Total Wind Generation
at 5-minute intervals, last 7 days
Dates: 17Nov2019 - 24Nov2019 (last updated 23Nov2019 21:05:44) Pacific Time
Based on 5-min MW readings from the BPA SCADA system for points 45583, 79687, 79682, 164377, 70681

This represents loads and resources in BPA's Balancing Authority (BA) including some that are not BPA's.
It does not include BPA loads served by transfer, scheduled out of region,
or scheduled to customers with their own BAs such as Seattle and Tacoma

BPA/Technical Operations (TOT-OpInfo@bpa.gov)

Date/Time       	Load	Wind	Hydro	Fossil/Biomass	Nuclear
11/17/2019 00:00	5215	284	5482	834	1164
11/17/2019 00:05	5177	279	5361	775	1164
11/17/2019 00:10	5180	274	5236	740	1164
11/17/2019 00:15	5166	266	5235	721	1163
11/17/2019 00:20	5163	260	5190	706	1165
11/17/2019 00:25	5141	249	5197	711	1164
11/17/2019 00:30	5139	249	5209	710	1164
11/17/2019 00:35	5145	252	5184	712	1164
11/17/2019 00:40	5109	269	5199	712	1164
11/17/2019 00:45	5122	262	5164	710	1164
11/17/2019 00:50	5100	259	5148	709	1164
11/17/2019 00:55	5099	265	5052	711	1163
11/17/2019 01:00	5092	287	4990	710	1163
11/17/2019 01:05	5065	305	4930	717	1164
11/17/2019 01:10	5078	317	4903	716	1168
11/17/2019 01:15	5063	330	4940	720	1164
11/17/2019 01:20	5024	336	4811	717	1164
11/17/2019 01:25	5025	326	4797	720	1164
11/17/2019 01:30	5002	330	4789	719	1163
11/17/2019 01:35	5011	319	4821	720	1164
11/17/2019 01:40	5008	311	4816	718	1163
11/17/2019 01:45	5006	309	4827	722	1164
11/17/2019 01:50	4996	304	4820	719	1169
11/17/2019 01:55	4982	297	4857	720	1164
11/17/2019 02:00	4996	307	4844	718	1163
11/17/2019 02:05	4986	317	4839	715	1163
11/17/2019 02:10	4995	337	4817	720	1164
11/17/2019 02:15	4991	326	4861	723	1168
11/17/2019 02:20	4987	321	4841	718	1164
11/17/2019 02:25	4987	316	4835	718	1164
11/17/2019 02:30	4973	299	4842	718	1163
11/17/2019 02:35	4982	286	4837	722	1163
11/17/2019 02:40	4971	279	4851	717	1162
11/17/2019 02:45	4958	296	4837	718	1169
11/17/2019 02:50	5006	321	4818	711	1164
11/17/2019 02:55	4987	363	4859	715	1164
11/17/2019 03:00	4981	406	4887	720	1164
11/17/2019 03:05	4998	439	4816	692	1166
11/17/2019 03:10	4993	454	4807	715	1164
11/17/2019 03:15	4972	449	4814	710	1164
11/17/2019 03:20	4995	418	4820	716	1170
11/17/2019 03:25	5004	402	4816	710	1167
11/17/2019 03:30	5012	403	4799	709	1164
11/17/2019 03:35	5023	403	4791	706	1164
11/17/2019 03:40	5011	433	4774	708	1164
11/17/2019 03:45	5033	444	4773	708	1165
11/17/2019 03:50	5045	465	4780	709	1164
11/17/2019 03:55	5047	446	4820	705	1169
11/17/2019 04:00	5051	446	4907	706	1164
11/17/2019 04:05	5031	448	4983	710	1164
11/17/2019 04:10	5071	450	5076	709	1164
11/17/2019 04:15	5080	450	5076	709	1164
11/17/2019 04:20	5072	450	5083	712	1164
11/17/2019 04:25	5090	432	5123	710	1166
11/17/2019 04:30	5111	434	5100	709	1164
11/17/2019 04:35	5110	417	5163	707	1166
11/17/2019 04:40	5132	429	5148	707	1164
11/17/2019 04:45	5138	433	5165	707	1166
11/17/2019 04:50	5144	442	5189	705	1163
11/17/2019 04:55	5165	428	5212	637	1163
11/17/2019 05:00	5183	438	5210	579	1164
11/17/2019 05:05	5219	424	5280	514	1164
11/17/2019 05:10	5218	447	5276	473	1164
11/17/2019 05:15	5247	463	5286	475	1163
11/17/2019 05:20	5241	488	5275	471	1163
11/17/2019 05:25	5274	494	5284	472	1164
11/17/2019 05:30	5306	519	5315	473	1167
11/17/2019 05:35	5307	496	5304	473	1164
11/17/2019 05:40	5327	507	5300	473	1164
11/17/2019 05:45	5327	499	5305	472	1164
11/17/2019 05:50	5342	505	5344	475	1164
11/17/2019 05:55	5373	521	5467	475	1165
11/17/2019 06:00	5383	519	5621	475	1164
11/17/2019 06:05	5457	501	5804	475	1164
11/17/2019 06:10	5478	464	5935	476	1170
11/17/2019 06:15	5521	430	6065	475	1164
11/17/2019 06:20	5567	436	6150	476	1164
11/17/2019 06:25	5554	417	6161	475	1164
11/17/2019 06:30	5550	391	6130	474	1164
11/17/2019 06:35	5602	380	6240	473	1166
11/17/2019 06:40	5640	371	6249	470	1166
11/17/2019 06:45	5644	367	6218	470	1164
11/17/2019 06:50	5668	371	6257	472	1163
11/17/2019 06:55	5677	353	6346	470	1163
11/17/2019 07:00	5712	373	6320	468	1166
11/17/2019 07:05	5798	366	6391	470	1166
11/17/2019 07:10	5822	407	6363	469	1163
11/17/2019 07:15	5844	456	6371	468	1170
11/17/2019 07:20	5868	477	6430	467	1163
11/17/2019 07:25	5881	516	6423	470	1164
11/17/2019 07:30	5910	521	6375	467	1164
11/17/2019 07:35	5957	512	6446	466	1165
11/17/2019 07:40	5961	530	6402	463	1163
11/17/2019 07:45	5991	528	6359	468	1163
11/17/2019 07:50	6006	535	6367	466	1167
11/17/2019 07:55	6013	515	6513	467	1164
11/17/2019 08:00	6037	530	6689	469	1164
11/17/2019 08:05	6075	545	6851	470	1164
11/17/2019 08:10	6098	571	6906	471	1166
11/17/2019 08:15	6141	604	7032	472	1164
11/17/2019 08:20	6128	645	6976	472	1164
11/17/2019 08:25	6153	686	6943	468	1164
11/17/2019 08:30	6173	692	6932	469	1165
11/17/2019 08:35	6171	684	6951	469	1164
11/17/2019 08:40	6158	698	6936	469	1164
11/17/2019 08:45	6211	670	7019	471	1164
11/17/2019 08:50	6236	668	6987	471	1164
11/17/2019 08:55	6234	703	6932	468	1165
11/17/2019 09:00	6259	696	6974	468	1169
11/17/2019 09:05	6262	705	6966	469	1166
11/17/2019 09:10	6259	717	7013	473	1165
11/17/2019 09:15	6298	757	7028	473	1167
11/17/2019 09:20	6284	809	7004	473	1164
11/17/2019 09:25	6329	832	7016	471	1165
11/17/2019 09:30	6312	848	6975	480	1163
11/17/2019 09:35	6324	875	6942	476	1162
11/17/2019 09:40	6316	887	6977	481	1164
11/17/2019 09:45	6338	885	6958	480	1166
11/17/2019 09:50	6313	891	6871	480	1164
11/17/2019 09:55	6312	871	6909	481	1163
11/17/2019 10:00	6300	856	6903	482	1168
11/17/2019 10:05	6299	869	6928	481	1163
11/17/2019 10:10	6314	890	6960	480	1163
11/17/2019 10:15	6308	899	6976	479	1162
11/17/2019 10:20	6296	847	7038	476	1164
11/17/2019 10:25	6281	839	7001	475	1164
11/17/2019 10:30	6282	831	7011	476	1162
11/17/2019 10:35	6278	832	6982	478	1162
11/17/2019 10:40	6255	850	6975	480	1162
11/17/2019 10:45	6246	867	6981	483	1163
11/17/2019 10:50	6250	922	6949	477	1161
11/17/2019 10:55	6233	975	6913	479	1161
11/17/2019 11:00	6237	1053	6821	480	1166
11/17/2019 11:05	6224	1114	6836	480	1161
11/17/2019 11:10	6242	1182	6741	474	1162
11/17/2019 11:15	6228	1244	6716	477	1161
11/17/2019 11:20	6215	1282	6689	474	1162
11/17/2019 11:25	6223	1408	6556	475	1160
11/17/2019 11:30	6231	1477	6456	477	1159
11/17/2019 11:35	6204	1546	6408	477	1159
11/17/2019 11:40	6203	1568	6360	474	1160
11/17/2019 11:45	6195	1562	6363	475	1159
11/17/2019 11:50	6184	1589	6291	476	1166
11/17/2019 11:55	6160	1595	6298	476	1161
11/17/2019 12:00	6170	1563	6367	477	1160
11/17/2019 12:05	6172	1566	6513	476	1158
11/17/2019 12:10	6148	1623	6611	474	1159
11/17/2019 12:15	6139	1644	6676	475	1159
11/17/2019 12:20	6161	1686	6637	469	1163
11/17/2019 12:25	6150	1674	6653	468	1158
